Document Key,Name,Category,Description,Typical Account Types,Critical,Active,Notes,Display Order
"doc_governmentIssuedPhotoId","Government-Issued Photo ID","Client Identity","Unexpired driver’s license, state ID, or similar government-issued photo identification used to verify identity.","IND, JNT, IRA-T, IRA-R, IRA-I, TRT, EST, ENT, MIN, ANN, ALT",Yes,Yes,"Core CIP/KYC evidence. FINRA requires customer-account information, and public account applications require government-issued ID details.",1
"doc_passportOrPermanentResidentCardSupport","Passport or Permanent Resident Card Support","Client Identity","Passport, permanent resident card, or comparable nationality/residency evidence used when standard domestic ID is insufficient or foreign-status issues are in play.","IND, JNT, IRA-I, TRT, ENT, ANN, ALT",Yes,Yes,"Common for non-U.S. persons or where passport-level evidence is specifically called for. Fidelity’s trust application explicitly references passport and permanent resident card as acceptable government ID evidence.",2
"doc_formW9OrEquivalentTinCertification","Form W-9 or Equivalent TIN Certification","Client Identity","IRS taxpayer certification used to provide and certify a U.S. SSN, ITIN, or EIN.","IND, JNT, IRA-T, IRA-R, IRA-I, TRT, EST, ENT, MIN, ANN, ALT",Yes,Yes,"Required whenever the account owner or legal entity is U.S. tax-reportable and the custodian cannot rely solely on existing verified tax records.",3
"doc_formW8BEN","Form W-8BEN","Client Identity","IRS foreign-status certificate for a non-U.S. individual.","IND, JNT, IRA-I, ANN, ALT",Yes,Yes,"Used to establish foreign status and, if applicable, treaty claims. Brokerage and inherited-account paperwork often references it when foreign status exists.",4
"doc_formW8BENE","Form W-8BEN-E","Client Identity","IRS foreign-status certificate for a non-U.S. entity.","TRT, EST, ENT, ALT",Yes,Yes,"Used for foreign legal entities and withholding/reporting treatment.",5
"doc_trustedContactPersonRecord","Trusted Contact Person Record","Client Identity","Record of trusted contact name and contact information for a non-institutional client.","IND, JNT, IRA-T, IRA-R, IRA-I, MIN",No,Yes,"FINRA requires firms to make a reasonable effort to obtain this for non-institutional accounts, but refusal usually does not stop opening or transfer.",6
"doc_proofOfResidentialAddress","Proof of Residential Address","Client Identity","Utility bill, bank statement, voter card, or comparable evidence used to support a legal address.","IND, JNT, IRA-T, IRA-R, IRA-I, TRT, ENT, MIN, ANN",Yes,Yes,"Often becomes critical when legal and mailing addresses differ, when moving from non-U.S. to U.S. address status, or when CIP cannot verify automatically.",7
"doc_legalNameChangeDocument","Legal Name Change Document","Client Identity","Marriage certificate, divorce decree, court order, or updated government ID evidencing a legal name change.","IND, JNT, IRA-T, IRA-R, IRA-I, TRT, ENT, MIN, ANN",Yes,Yes,"Public custodian forms explicitly require documentary proof before registrations can be updated.",8
"doc_achOrEftAuthorization","ACH or EFT Authorization","Banking","Authorization to link a bank account for ACH debits or credits.","IND, JNT, IRA-T, IRA-R, IRA-I, TRT, EST, ENT, MIN",Yes,Yes,"Required whenever bank movement is part of funding or post-transfer cash management. Fidelity publicly lists bank-linking for EFT and wire use.",9
"doc_wireInstructionsAuthorization","Wire Instructions Authorization","Banking","Written bank wire instructions for incoming or outgoing funds.","IND, JNT, IRA-T, IRA-R, IRA-I, TRT, EST, ENT, ANN",Yes,Yes,"Required when wiring funds; usually distinct from EFT authorization because verification and fraud controls are tighter.",10
"doc_voidedCheckOrBankLetter","Voided Check or Bank Letter","Banking","Supporting bank evidence used to validate ownership of the linked external account.","IND, JNT, IRA-T, IRA-R, IRA-I, TRT, EST, ENT",No,Yes,"Common attachment for manual ACH/EFT setup or address-account verification; sometimes replaceable by digital verification.",11
"doc_standingLetterOfAuthorization","Standing Letter of Authorization","Banking","Standing instructions that permit recurring or on-demand transfer requests to an authorized destination.","IND, JNT, TRT, ENT",Yes,Yes,"High-risk control point. SEC no-action relief and Pershing guidance treat SLOAs as a defined supervisory category.",12
"doc_cashManagementOrCheckwritingOrDebitEnrollment","Cash Management or Checkwriting or Debit Enrollment","Banking","Enrollment form for checks, debit card, or cash-management features linked to the investment account.","IND, JNT, TRT, ENT, IRA-T",No,Yes,"Useful for transition completeness because new household operating habits often depend on these features, but not every transition needs them.",13
"doc_fullTrustAgreement","Full Trust Agreement","Trust","Complete trust instrument, including signature pages and governing provisions, used when summary evidence is insufficient.","TRT, IRA-I, EST, ALT",Yes,Yes,"Often required for complex trusts, inherited accounts to trusts, or when a certificate alone does not establish powers.",14
"doc_certificationOfTrustOrTrustCertificate","Certification of Trust or Trust Certificate","Trust","Certificate or abstract confirming trust existence, trustee identity, date, and authority without exposing the full document in many cases.","TRT, IRA-I",Yes,Yes,"Common frontline validation document for opening or updating trust accounts.",15
"doc_trustAmendmentOrRestatement","Trust Amendment or Restatement","Trust","Amendment, restatement, or other change document updating trust powers or trustee structure.","TRT, IRA-I",Yes,Yes,"Required whenever the operative trust terms changed after the original instrument or certificate on file.",16
"doc_trusteeCertificationOrAcceptance","Trustee Certification or Acceptance","Trust","Trustee-signed certification that the acting trustee accepts office and possesses the relevant powers.","TRT, IRA-I",Yes,Yes,"Important when the trust document does not clearly show current acting fiduciaries or when operational authority needs confirmation.",17
"doc_successorTrusteeAppointmentOrResignationDocumentation","Successor Trustee Appointment or Resignation Documentation","Trust","Documentation showing removal, resignation, incapacity, or appointment of successor trustees.","TRT, IRA-I",Yes,Yes,"Necessary whenever the acting trustee differs from the trustee last on file.",18
"doc_beneficialOwnershipForTrustsForm","Beneficial Ownership for Trusts Form","Trust","Form capturing beneficial-owner or control-person information for trust relationships where the custodian requires it.","TRT",Yes,Yes,"Fidelity’s trust application expressly requires a separate beneficial ownership form when the beneficial owner is an entity.",19
"doc_certifiedDeathCertificate","Certified Death Certificate","Estate","Certified evidence of the account owner’s death.","EST, IRA-I, TRT, IND, JNT",Yes,Yes,"Public death-processing materials from Schwab and LPL treat death-certificate evidence as a starting gate for inheritance and beneficiary processing.",20
"doc_lettersTestamentaryOrLettersOfAdministration","Letters Testamentary or Letters of Administration","Estate","Court-issued authority appointing the executor or personal representative.","EST, IRA-I, TRT",Yes,Yes,"Required whenever assets are moving through the estate rather than directly by beneficiary designation.",21
"doc_courtAppointmentOrderForFiduciary","Court Appointment Order for Fiduciary","Estate","Order appointing a fiduciary, guardian, conservator, or other court-recognized representative.","EST, MIN, TRT, IRA-I",Yes,Yes,"Becomes critical when probate, guardianship, or estate administration powers arise from court authority rather than account titling alone.",22
"doc_affidavitOfDomicile","Affidavit of Domicile","Estate","Sworn statement regarding the decedent’s legal domicile used to support transfer of assets after death.","EST",No,Yes,"Common estate-support document for securities transfer and post-death processing, especially when domicile affects legal entitlement or tax handling.",23
"doc_estateDistributionOrExecutorInstructionLetter","Estate Distribution or Executor Instruction Letter","Estate","Written allocation or transfer instructions signed by the executor or authorized estate fiduciary.","EST, IRA-I",No,Yes,"Operationally useful after legal authority is established; some firms specifically require executor instructions for proper distribution.",24
"doc_articlesOfIncorporationOrCertificateOfFormation","Articles of Incorporation or Certificate of Formation","Entity","Foundational state formation document for a corporation, LLC, or similar legal entity.","ENT, TRT",Yes,Yes,"Formation evidence is repeatedly referenced in public entity and trust-account documentation.",25
"doc_bylaws","Bylaws","Entity","Corporate governance document identifying officer structure, voting authority, and internal rules.","ENT",No,Yes,"Usually supporting rather than standalone, but highly useful when authority is unclear or resolution language is thin.",26
